(u'wednesday may 23 1990', '1990-05-23')
(u'7/1/70', '1970-07-01')
(u'22 05 10', '2010-05-22')
(u'monday august 13 1984', '1984-08-13')
(u'tuesday january 12 1988', '1988-01-12')
(u'sunday june 24 1979', '1979-06-24')
(u'13 sep 1997', '1997-09-13')
(u'wednesday november 30 1977', '1977-11-30')
(u'january 31 1976', '1976-01-31')
(u'monday march 11 1991', '1991-03-11')
(u'5 jul 1997', '1997-07-05')
(u'friday july 14 1978', '1978-07-14')
(u'28 jan 1997', '1997-01-28')
(u'saturday may 16 1987', '1987-05-16')
(u'november 21 2016', '2016-11-21')
(u'june 20 1974', '1974-06-20')
(u'23.11.17', '2017-11-23')
(u'saturday march 3 1990', '1990-03-03')
(u'wednesday august 31 1994', '1994-08-31')
(u'saturday april 2 1977', '1977-04-02')
(u'9 march 2005', '2005-03-09')
(u'thursday april 19 1979', '1979-04-19')
(u'friday september 19 1986', '1986-09-19')
(u'2/25/71', '1971-02-25')
(u'thursday august 14 1986', '1986-08-14')
(u'08.05.17', '2017-05-08')
(u'26.11.17', '2017-11-26')
(u'9 june 2006', '2006-06-09')
(u'3/3/70', '1970-03-03')
(u'january 7 2016', '2016-01-07')
(u'13 august 2012', '2012-08-13')
(u'23 sep 2007', '2007-09-23')
(u'tuesday october 3 1978', '1978-10-03')
(u'november 14 1974', '1974-11-14')
(u'monday april 16 1990', '1990-04-16')
(u'may 4 2013', '2013-05-04')
(u'17 apr 1998', '1998-04-17')
(u'18 january 2006', '2006-01-18')
(u'thursday may 21 1981', '1981-05-21')
(u'thursday august 17 1995', '1995-08-17')
(u'19 september 2004', '2004-09-19')
(u'15 05 10', '2010-05-15')
(u'2 07 09', '2009-07-02')
(u'friday may 15 1981', '1981-05-15')
(u'25 september 2012', '2012-09-25')
(u'sunday august 3 1980', '1980-08-03')
(u'31 03 09', '2009-03-31')
(u'2 mar 1997', '1997-03-02')
(u'sunday february 4 1979', '1979-02-04')
(u'22 october 1998', '1998-10-22')
(u'saturday may 13 1995', '1995-05-13')
(u'01.12.16', '2016-12-01')
(u'1/13/72', '1972-01-13')
(u'friday january 13 1978', '1978-01-13')
(u'14.02.18', '2018-02-14')
(u'24 09 10', '2010-09-24')
(u'tuesday may 10 1977', '1977-05-10')
(u'thursday march 19 1981', '1981-03-19')
(u'tuesday may 21 1996', '1996-05-21')
(u'wednesday september 7 1977', '1977-09-07')
(u'tuesday november 5 1985', '1985-11-05')
(u'may 31 1972', '1972-05-31')
(u'30 october 2004', '2004-10-30')
(u'nov 5 1973', '1973-11-05')
(u'05.09.18', '2018-09-05')
(u'january 20 2015', '2015-01-20')
(u'09 aug 2008', '2008-08-09')
(u'21 oct 2007', '2007-10-21')
(u'thursday december 31 1987', '1987-12-31')
(u'21 mar 2003', '2003-03-21')
(u'04 apr 2007', '2007-04-04')
(u'tuesday july 13 1993', '1993-07-13')
(u'jan 4 1973', '1973-01-04')
(u'22 aug 2000', '2000-08-22')
(u'wednesday december 11 1985', '1985-12-11')
(u'10 november 1999', '1999-11-10')
(u'monday august 6 1990', '1990-08-06')
(u'august 14 2016', '2016-08-14')
(u'tuesday november 13 1979', '1979-11-13')
(u'18 aug 2007', '2007-08-18')
(u'10 mar 2004', '2004-03-10')
(u'28 mar 1997', '1997-03-28')
(u'dec 1 1973', '1973-12-01')
(u'friday january 27 1978', '1978-01-27')
(u'04.05.17', '2017-05-04')
(u'wednesday april 15 1981', '1981-04-15')
(u'monday january 2 1978', '1978-01-02')
(u'friday february 10 1984', '1984-02-10')
(u'monday april 15 1996', '1996-04-15')
(u'wednesday june 7 1995', '1995-06-07')
(u'3/1/70', '1970-03-01')
(u'2/26/70', '1970-02-26')
(u'tuesday april 12 1994', '1994-04-12')
(u'thursday january 18 1979', '1979-01-18')
(u'25 september 1999', '1999-09-25')
(u'29 01 09', '2009-01-29')
(u'september 10 1974', '1974-09-10')
(u'thursday september 22 1994', '1994-09-22')
(u'thursday november 16 1989', '1989-11-16')
(u'07 sep 2008', '2008-09-07')
(u'september 23 2016', '2016-09-23')
(u'friday may 25 1990', '1990-05-25')
(u'friday november 27 1981', '1981-11-27')
